,STATE,geometry
0,OR,POINT (-122.897491 45.530803)
1,NY,POINT (-77.0597109 43.239211)
2,PA,POINT (-75.3457148 40.463199)
3,UT,POINT (-112.0466053 41.1203693)
4,ID,POINT (-113.7615631 42.5539565)
5,CA,POINT (-118.3921451 33.9014438)
6,CA,POINT (-121.747142 36.901217)
7,IL,POINT (-88.0864903 41.6650129999999)
8,TX,POINT (-95.1944245 29.7952021)
9,CA,POINT (-120.4604687 34.9353027)
10,FL,POINT (-80.3816296 25.8983707)
11,IL,POINT (-90.3042147 38.3026597)
12,IA,POINT (-96.1895280999999 42.7671191)
13,CA,POINT (-122.393037 37.7242785)
14,MD,POINT (-75.7523727 38.6826818)
15,MO,POINT (-90.3510467 38.689008)
16,OH,POINT (-81.5027485999999 40.7868508)
17,IN,POINT (-86.201711 39.761321)
18,WA,POINT (-122.3375769 47.540685)
19,TX,POINT (-96.8987002 32.7710086)
20,OR,POINT (-123.010506 44.9105679)
21,IN,POINT (-84.8480999 41.1362999)
22,NJ,POINT (-75.0664829999999 39.513087)
23,CA,POINT (-117.378236 34.013087)
24,IL,POINT (-88.1467243 41.3078093)
25,TX,POINT (-96.6715802 32.8726156)
26,MA,POINT (-70.921971 41.63877)
27,KY,POINT (-84.5884525 39.0352959)
28,MN,POINT (-93.1568573 44.8524532)
29,NY,POINT (-73.7719865999999 42.1558134)
30,NJ,POINT (-75.4109935 39.7408248)
31,CA,POINT (-118.2120687 34.0104994)
32,CA,POINT (-118.21028 34.015596)
33,TX,POINT (-96.8764662 32.8116297)
34,IN,POINT (-85.0776392 41.0554075)
35,CA,POINT (-122.151998 37.713895)
36,IN,POINT (-86.1554967 39.7736046)
37,MO,POINT (-93.3720534999999 37.216006)
38,MA,POINT (-71.1110264 41.7414588)
39,WI,POINT (-89.5045256 44.5097833)
40,CA,POINT (-119.06758 35.424565)
41,PA,POINT (-79.871583 40.5053)
42,MA,POINT (-71.6179512 42.0379234)
43,OR,POINT (-119.7005834 45.839855)
44,CA,POINT (-122.188199 37.750772)
45,GA,POINT (-84.623345 33.780302)
46,IN,POINT (-85.0545197 41.1046501)
47,IL,POINT (-89.0493073999999 41.9134388)
48,NC,POINT (-80.948961 35.136052)
49,CA,POINT (-122.1867814 37.7520919)
50,IN,POINT (-85.080091 41.0671139)
51,NJ,POINT (-75.002381 39.847404)
52,WA,POINT (-119.3144032 47.1049739)
53,MI,POINT (-86.488725 42.083063)
54,TX,POINT (-98.4631366999999 29.515516)
55,GA,POINT (-84.2482775 33.9100934)
56,NJ,POINT (-74.372187 40.73889)
57,FL,POINT (-81.639174 30.384654)
58,WA,POINT (-122.382856 47.627621)
59,MT,POINT (-108.556312 45.762422)
60,CA,POINT (-120.453863 34.937812)
61,OR,POINT (-122.8975 45.530377)
62,MA,POINT (-71.054661 42.130132)
63,MA,POINT (-71.23715 42.116412)
64,OH,POINT (-84.090207 41.41576)
65,MA,POINT (-70.655285 42.615018)
66,MA,POINT (-70.656809 42.614936)
67,GA,POINT (-84.36149 33.935085)
68,GA,POINT (-84.612644 34.002791)
69,FL,POINT (-81.789503 28.03472)
70,FL,POINT (-81.78953 28.034323)
71,TN,POINT (-88.809835 35.621027)
72,NJ,POINT (-74.088397 40.682946)
73,FL,POINT (-81.627637 28.10903)
74,MN,POINT (-93.356332 43.626187)
75,DE,POINT (-75.594009 39.660143)
76,ND,POINT (-97.104762 47.911247)
77,OK,POINT (-94.624624 35.804872)
78,CA,POINT (-117.333179 34.001161)
79,TX,POINT (-95.073989 29.699141)
80,TX,POINT (-95.084356 29.698247)
81,MI,POINT (-85.971204 42.105775)
82,GA,POINT (-81.204042 32.080448)
83,GA,POINT (-81.249925 32.333829)
84,TX,POINT (-106.376146 31.921034)
85,IL,POINT (-89.034223 41.908823)
86,WA,POINT (-122.340372 48.415077)
87,GA,POINT (-84.115006 31.559577)
88,WI,POINT (-88.81511 42.990632)
89,CA,POINT (-121.443101 38.601823)
90,CO,POINT (-104.872692 39.790298)
91,TX,POINT (-101.817199 35.189011)
92,NJ,POINT (-75.22471 39.497477)
93,DE,POINT (-75.783365 39.658821)
94,FL,POINT (-81.363076 28.410782)
95,SC,POINT (-79.979584 32.902829)
96,OH,POINT (-84.505026 39.33765)
97,AL,POINT (-87.043385 34.61295)
98,TN,POINT (-89.991372 35.114491)
99,TX,POINT (-97.340011 32.785948)
100,WI,POINT (-89.535864 44.419597)
101,NC,POINT (-79.213757 35.515406)
102,DE,POINT (-75.579879 38.918833)
103,FL,POINT (-82.055741 28.028953)
104,AR,POINT (-92.38805 34.861099)
105,WA,POINT (-118.355923 46.061592)
106,WI,POINT (-88.051551 43.192193)
107,MI,POINT (-86.357675 43.68982)
108,OH,POINT (-84.100742 41.413563)
109,TX,POINT (-98.432211 29.300597)
110,MI,POINT (-85.701127 42.941399)
111,AR,POINT (-94.116226 36.194036)
112,VA,POINT (-76.588973 37.177586)
113,GA,POINT (-84.00345 30.848282)
114,WI,POINT (-89.651102 44.953797)
115,VA,POINT (-76.371607 36.777606)
116,PA,POINT (-75.659354 40.354176)
117,IL,POINT (-88.286868 41.864111)
118,NC,POINT (-80.946399 35.112075)
119,CA,POINT (-121.771257 36.865337)
120,FL,POINT (-80.375535 25.889374)
121,CA,POINT (-117.288791 34.489514)
122,AL,POINT (-86.36091 32.31433)
123,IN,POINT (-86.121006 39.747911)
124,MN,POINT (-93.381523 45.08415)
125,MN,POINT (-93.238921 45.219714)
126,TX,POINT (-97.333295 32.775222)
127,OH,POINT (-84.384132 41.289968)
128,CA,POINT (-121.742886 36.758454)
129,CA,POINT (-117.512837 34.070766)
130,MN,POINT (-94.51483 44.340603)
131,WA,POINT (-118.899932 46.078881)
132,IN,POINT (-86.167678 39.747861)
133,GA,POINT (-84.155694 33.375311)
134,NJ,POINT (-74.108724 40.221143)
135,OR,POINT (-122.841141 45.136135)
136,MS,POINT (-91.076958 33.495125)
137,CA,POINT (-117.973412 34.029011)
138,MA,POINT (-72.591041 42.109905)
139,MA,POINT (-72.616316 42.128114)
140,NJ,POINT (-74.20336 40.638343)
141,WI,POINT (-90.115026 44.299638)
142,IA,POINT (-95.551907 42.735764)
143,KY,POINT (-87.524315 37.626795)
144,LA,POINT (-90.100971 29.924572)
145,IL,POINT (-87.6634 41.815822)
146,MA,POINT (-70.650728 42.610464)
147,PA,POINT (-79.946951 40.48566)
148,KS,POINT (-94.611273 39.12205)
149,FL,POINT (-82.401771 27.958622)
150,FL,POINT (-82.401577 27.958491)
151,WA,POINT (-124.10741 46.903258)
152,IA,POINT (-96.187834 42.771451)
153,CA,POINT (-118.242891 33.808143)
154,TX,POINT (-95.385621 29.954948)
155,SC,POINT (-82.388801 34.726974)
156,AZ,POINT (-112.125889 33.43209)
157,WA,POINT (-122.752924 45.913582)
158,AR,POINT (-94.409901 35.396165)
159,UT,POINT (-111.998517 40.73488)
160,ME,POINT (-70.284025 43.682194)
161,IA,POINT (-93.592302 41.633228)
162,MA,POINT (-71.184648 42.619118)
163,MO,POINT (-94.47027 39.159409)
164,AR,POINT (-90.228993 35.123268)
165,IA,POINT (-92.320711 42.491203)
166,NY,POINT (-78.10563 43.225723)
167,VA,POINT (-78.07744 38.986237)
168,UT,POINT (-111.942646 40.733301)
169,GA,POINT (-83.803634 34.2473)
170,IL,POINT (-88.182441 41.492505)
171,MN,POINT (-95.617244 43.636475)
172,TX,POINT (-98.51548 29.409671)
173,CA,POINT (-121.554286 36.87385)
174,WI,POINT (-87.979845 44.508431)
175,FL,POINT (-81.687916 30.334503)
176,FL,POINT (-81.687576 30.334618)
177,FL,POINT (-81.893476 28.819684)
178,GA,POINT (-85.051308 34.028664)
179,VA,POINT (-77.380149 37.349801)
180,VA,POINT (-77.392865 37.352807)
181,IN,POINT (-86.232475 39.740777)
182,GA,POINT (-84.607412 33.708178)
183,GA,POINT (-84.601195 33.707785)
184,WA,POINT (-119.191504 46.826277)
185,IL,POINT (-90.600732 42.469903)
186,SC,POINT (-80.384563 33.868684)
187,MN,POINT (-92.690615 44.304026)
188,WI,POINT (-89.78682 44.40411)
189,PA,POINT (-75.571205 40.61432)
190,GA,POINT (-84.196107 32.115318)
191,WI,POINT (-92.438475 44.96249)
192,PA,POINT (-75.502042 41.261613)
193,MN,POINT (-95.564487 43.631902)
194,GA,POINT (-84.141492 33.402344)
195,TX,POINT (-97.352475 32.830941)
196,TX,POINT (-97.35361 32.833844)
197,TX,POINT (-97.352409 32.8309)
198,NC,POINT (-77.562814 35.872038)
199,FL,POINT (-81.822246 27.871588)
200,WI,POINT (-88.438171 44.284027)
201,GA,POINT (-82.855179 31.5332)
202,KS,POINT (-100.893572 37.989528)
203,MS,POINT (-89.469193 32.361887)
204,WA,POINT (-119.29558 46.311173)
205,AR,POINT (-93.072832 35.262983)
206,NE,POINT (-98.352741 40.949398)
207,NE,POINT (-98.353421 40.949334)
208,NE,POINT (-98.376297 40.622918)
209,NM,POINT (-106.659066 35.102557)
210,CA,POINT (-118.236451 33.992954)
211,CA,POINT (-120.96121 37.637793)
212,NJ,POINT (-75.063845 39.519521)
213,OH,POINT (-83.855694 39.840042)
214,IL,POINT (-88.267811 41.895284)
215,AL,POINT (-86.218223 34.294613)
216,AL,POINT (-86.115437 33.998997)
217,CA,POINT (-118.234971 33.992903)
218,PA,POINT (-80.12592 42.097724)
219,CO,POINT (-104.987514 39.769554)
220,PA,POINT (-79.547914 40.28133)
221,FL,POINT (-82.137994 28.011755)
222,TN,POINT (-86.359926 35.779518)
223,SC,POINT (-81.687813 35.051692)
224,OH,POINT (-81.545035 40.778629)
225,SC,POINT (-82.350506 34.837987)
226,AL,POINT (-85.928686 33.964997)
227,GA,POINT (-84.791462 34.235623)
228,IN,POINT (-86.393977 40.73781)
229,MI,POINT (-83.247962 42.262487)
230,MN,POINT (-93.217754 44.63738)
231,MN,POINT (-93.008245 44.883234)
232,NJ,POINT (-75.023579 39.521236)
233,IN,POINT (-87.31433 41.499348)
234,AL,POINT (-88.082115 30.643247)
235,TX,POINT (-101.701787 34.248922)
236,IA,POINT (-91.522892 40.971498)
237,NE,POINT (-96.977339 40.581755)
238,MN,POINT (-93.072854 44.940914)
239,MI,POINT (-86.061258 42.21739)
240,WA,POINT (-119.02779 46.168278)
241,IA,POINT (-95.149771 43.159379)
242,PA,POINT (-77.657062 39.944793)
243,GA,POINT (-82.51388 31.536495)
244,PA,POINT (-75.672797 41.398386)
245,WI,POINT (-88.811782 42.990832)
246,SD,POINT (-96.698115 43.562116)
247,WA,POINT (-122.39419 47.244879)
248,WA,POINT (-122.40077 47.244833)
249,WA,POINT (-123.000057 46.760082)
250,ID,POINT (-116.565533 43.587658)
251,NJ,POINT (-74.275429 40.507126)
252,NC,POINT (-78.050945 34.757437)
253,SC,POINT (-80.989858 33.961951)
254,CA,POINT (-117.379281 34.013884)
255,CA,POINT (-117.380521 34.013893)
256,GA,POINT (-83.661162 32.696913)
257,OH,POINT (-82.934042 39.898104)
258,OH,POINT (-82.965557 39.920833)
259,KS,POINT (-94.806877 39.05758)
260,NY,POINT (-78.839204 42.93821)
261,AR,POINT (-94.426672 35.393234)
262,MN,POINT (-94.151619 45.499108)
263,MN,POINT (-93.623036 45.215618)
264,KY,POINT (-84.624669 38.922348)
265,NC,POINT (-78.567051 35.359831)
266,OH,POINT (-83.10549 40.002353)
267,AR,POINT (-90.575002 35.815488)
268,GA,POINT (-83.635065 32.440879)
269,CT,POINT (-72.625607 41.780574)
270,ME,POINT (-68.835169 44.792113)
271,UT,POINT (-111.954803 40.737712)
272,UT,POINT (-111.942201 40.733712)
273,MS,POINT (-89.316344 31.297035)
274,IL,POINT (-87.675739 41.845658)
275,IL,POINT (-88.062054 41.673187)
276,IL,POINT (-88.142788 41.514909)
277,NY,POINT (-78.780059 42.900963)
278,FL,POINT (-81.997372 28.080537)
279,OK,POINT (-97.559761 35.452783)
280,OR,POINT (-123.01013 44.905313)
281,CA,POINT (-122.235592 37.779682)
282,CA,POINT (-117.378897 34.055221)
283,TX,POINT (-97.462548 27.790396)
284,NY,POINT (-77.926707 43.214603)
285,PA,POINT (-80.11753 40.708064)
286,NY,POINT (-76.262368 43.11648)
287,TN,POINT (-86.382131 35.798109)
288,TN,POINT (-86.382131 35.798109)
289,WI,POINT (-91.545751 44.851816)
290,OH,POINT (-81.660125 41.485962)
291,MO,POINT (-94.857992 39.741161)
292,VA,POINT (-76.339136 36.764508)
293,KS,POINT (-97.327316 37.73211)
294,IA,POINT (-91.495533 41.634283)
295,AL,POINT (-85.407102 31.257138)
296,AL,POINT (-85.344693 31.222352)
297,NC,POINT (-79.109964 34.656765)
298,CA,POINT (-117.860821 33.914313)
299,CA,POINT (-117.33141 34.030233)
300,ID,POINT (-113.849173 42.533022)
301,IA,POINT (-96.377392 42.427082)
302,IA,POINT (-96.373684 42.42608)
303,FL,POINT (-81.575349 30.433156)
304,FL,POINT (-81.537539 30.252543)
305,FL,POINT (-81.543729 30.392687)
306,WI,POINT (-90.432824 44.026096)
307,VA,POINT (-80.123459 37.274079)
308,NC,POINT (-79.787438 36.03446)
309,MI,POINT (-86.40034 42.065304)
310,OH,POINT (-84.424904 39.268983)
311,VA,POINT (-77.454784 37.493038)
312,CO,POINT (-104.677848 40.389401)
313,MI,POINT (-85.854216 42.854322)
314,MS,POINT (-90.155312 32.253258)
315,AR,POINT (-93.102902 35.275577)
316,GA,POINT (-83.758473 34.236324)
317,GA,POINT (-84.009389 32.306041)
318,WA,POINT (-122.332312 48.47363)
319,FL,POINT (-82.123257 28.036688)
320,CA,POINT (-118.21029 34.014895)
321,AR,POINT (-91.607466 35.806847)
322,AR,POINT (-91.657799 35.766807)
323,AZ,POINT (-112.069301 33.436783)
324,AZ,POINT (-111.839944 33.411771)
325,OH,POINT (-83.084181 39.963268)
326,CA,POINT (-118.21199 34.015574)
327,PA,POINT (-75.153867 39.906793)
328,KS,POINT (-99.967752 37.742009)
329,OH,POINT (-84.509166 39.327766)
330,MO,POINT (-93.274452 37.20946)
331,CA,POINT (-121.324189 37.94885)
332,WI,POINT (-89.304185 43.052478)
333,WA,POINT (-119.1932 47.13344)
334,WA,POINT (-119.312482 47.106416)
335,CA,POINT (-117.522332 34.028423)
336,GA,POINT (-84.425606 33.698744)
337,NE,POINT (-95.963472 41.218278)
338,IN,POINT (-86.063627 39.7194)
339,WA,POINT (-122.381014 47.238308)
340,LA,POINT (-90.018074 29.996218)
341,IN,POINT (-86.857238 40.37471)
342,OH,POINT (-84.408113 39.290514)
343,MO,POINT (-93.245997 39.116086)
344,GA,POINT (-84.391903 33.661379)
345,TX,POINT (-97.352313 32.826783)
346,IA,POINT (-94.13737 42.499362)
347,NJ,POINT (-74.13194 40.719812)
348,NE,POINT (-97.098183 41.450023)
349,AR,POINT (-93.997769 33.412351)
350,WA,POINT (-122.334221 47.57073)
351,TX,POINT (-96.564621 32.772521)
352,MN,POINT (-95.839221 46.818453)
353,NC,POINT (-80.963372 35.815237)
354,PA,POINT (-76.737958 40.042937)
355,PA,POINT (-76.419477 40.043494)
356,VA,POINT (-76.23829 36.865654)
357,PA,POINT (-75.598919 40.651863)
358,VA,POINT (-78.939157 38.029348)
359,TX,POINT (-96.85011 32.862288)
360,MD,POINT (-75.788205 38.714319)
361,NY,POINT (-77.871573 42.730593)
362,CA,POINT (-121.764886 36.903674)
