,STATE,geometry
363,GA,POINT (-83.747178 32.242412)
364,CA,POINT (-118.239671 34.043412)
365,CA,POINT (-118.239368 34.043694)
366,CA,POINT (-118.239697 34.043528)
367,PA,POINT (-75.420239 40.441551)
368,TX,POINT (-98.275318 26.153368)
369,TX,POINT (-96.718019 32.943322)
370,NE,POINT (-96.738125 40.847162)
371,NC,POINT (-77.924947 35.373749)
372,WI,POINT (-87.98576 43.752543)
373,WA,POINT (-122.450639 48.946646)
374,MI,POINT (-86.359325 42.091089)
375,OR,POINT (-122.998143 44.978162)
376,PA,POINT (-75.957641 40.441334)
377,WA,POINT (-120.303691 47.419702)
378,WA,POINT (-122.33047 48.473212)
379,CA,POINT (-118.19171 34.003854)
380,OR,POINT (-123.07622 45.525142)
381,OR,POINT (-123.07622 45.525142)
382,MN,POINT (-95.063453 46.885584)
383,FL,POINT (-81.777476 28.070945)
384,TX,POINT (-98.275428 26.158888)
385,TX,POINT (-98.396622 29.444479)
386,TX,POINT (-98.414671 29.442798)
387,WI,POINT (-92.721102 45.105009)
388,MO,POINT (-90.340616 38.688289)
389,IL,POINT (-87.731551 41.816304)
390,ID,POINT (-114.487465 42.549773)
391,OH,POINT (-83.143127 39.991646)
392,OH,POINT (-83.113594 40.002867)
393,NC,POINT (-78.516534 35.414556)
394,NY,POINT (-74.014564 40.651229)
395,CO,POINT (-104.938316 39.787078)
396,MA,POINT (-72.733472 42.168148)
397,IL,POINT (-87.748104 41.4545)
398,FL,POINT (-81.723322 30.324598)
399,MD,POINT (-75.806137 39.655014)
400,AZ,POINT (-112.221057 33.443529)
401,NE,POINT (-96.48999 41.422214)
402,IL,POINT (-87.65862 41.811773)
403,MO,POINT (-93.36962 37.217854)
404,WA,POINT (-122.329312 47.561224)
405,IA,POINT (-90.639953 41.498858)
406,OH,POINT (-81.497774 40.697683)
407,WI,POINT (-89.302869 43.030727)
408,CA,POINT (-117.486904 34.00195)
409,NE,POINT (-96.097458 41.247504)
410,NE,POINT (-96.117994 41.203024)
411,MI,POINT (-86.396916 43.609699)
412,OR,POINT (-122.962621 45.04958)
413,VA,POINT (-77.493468 37.579755)
414,MD,POINT (-76.554349 39.271638)
415,CT,POINT (-72.663549 41.643192)
416,CA,POINT (-118.176699 33.998741)
417,TX,POINT (-97.342858 32.829112)
418,ID,POINT (-116.214261 43.617667)
419,MO,POINT (-94.32701 37.198911)
420,DE,POINT (-75.606077 38.742319)
421,NY,POINT (-78.714963 42.840477)
422,IA,POINT (-91.637465 41.929612)
423,NJ,POINT (-74.401319 40.573056)
424,NJ,POINT (-74.412797 40.725156)
425,NJ,POINT (-74.467739 40.372773)
426,FL,POINT (-81.79676 28.05842)
427,DE,POINT (-75.426554 38.918428)
428,TX,POINT (-95.01941 29.670991)
429,OK,POINT (-95.997574 36.152325)
430,CO,POINT (-104.965537 39.788655)
431,CO,POINT (-104.967616 39.789796)
432,TX,POINT (-96.674689 32.78735)
433,GA,POINT (-84.525184 33.616057)
434,GA,POINT (-84.43819 33.61454)
435,MO,POINT (-93.537272 39.77991)
436,TX,POINT (-97.329592 32.982206)
437,CA,POINT (-120.876386 37.488101)
438,GA,POINT (-81.941907 33.455794)
439,NJ,POINT (-74.284289 40.515135)
440,VA,POINT (-78.345008 39.011636)
441,WA,POINT (-122.343011 47.611191)
442,WA,POINT (-122.33416 47.596649)
443,NJ,POINT (-75.253534 39.718295)
444,CA,POINT (-121.763717 36.909196)
445,NC,POINT (-80.822687 35.338684)
446,CA,POINT (-117.644141 34.055788)
447,MA,POINT (-71.022235 41.901305)
448,PA,POINT (-79.932181 40.46062)
449,UT,POINT (-112.029432 40.781293)
450,WA,POINT (-119.097288 46.280032)
451,TN,POINT (-89.675318 35.285114)
452,TN,POINT (-89.675318 35.285114)
453,OR,POINT (-116.958405 44.031465)
454,NH,POINT (-71.339941 42.899276)
455,MA,POINT (-71.056116 42.391225)
456,PA,POINT (-76.721758 40.035847)
457,AL,POINT (-86.847874 33.533966)
458,GA,POINT (-84.947736 32.452786)
459,IA,POINT (-95.363264 42.023706)
460,KY,POINT (-85.772911 38.219163)
461,AR,POINT (-94.136097 36.170872)
462,IA,POINT (-93.46501 41.64324)
463,WA,POINT (-119.814825 47.187648)
464,GA,POINT (-84.593519 33.724445)
465,CA,POINT (-117.641691 34.057928)
466,MI,POINT (-86.145145 42.208347)
467,CA,POINT (-117.641971 34.055723)
468,NY,POINT (-78.386909 43.218315)
469,IA,POINT (-93.211164 43.137249)
470,TX,POINT (-97.312809 32.651691)
471,GA,POINT (-84.592444 33.711496)
472,GA,POINT (-84.592444 33.711496)
473,NY,POINT (-77.186769 43.235304)
474,PA,POINT (-75.664655 40.593455)
475,OH,POINT (-81.469125 41.38286)
476,CA,POINT (-120.84485 37.486128)
477,IN,POINT (-85.230085 41.085478)
478,AL,POINT (-85.858786 33.590434)
479,CA,POINT (-118.229127 34.036148)
480,IL,POINT (-88.884664 42.25171)
481,TX,POINT (-98.271382 26.147005)
482,CA,POINT (-118.237867 33.9781)
483,IA,POINT (-90.4374 41.559588)
484,IN,POINT (-86.006689 39.472703)
485,CA,POINT (-117.531993 34.05728)
486,CA,POINT (-117.906838 33.864101)
487,MN,POINT (-92.992101 43.649514)
488,PA,POINT (-75.60296 40.565877)
489,LA,POINT (-91.182583 30.468248)
490,WA,POINT (-118.87121 46.648962)
491,KY,POINT (-85.892078 38.132888)
492,IN,POINT (-85.766352 39.999343)
493,OR,POINT (-119.675291 45.842719)
494,CA,POINT (-121.196787 37.790406)
495,FL,POINT (-80.257871 25.840612)
496,CA,POINT (-121.765428 36.900005)
497,MS,POINT (-88.642113 33.592509)
498,UT,POINT (-112.011471 41.089118)
499,WA,POINT (-122.238507 47.433874)
500,LA,POINT (-91.579415 32.460171)
501,IN,POINT (-85.040042 41.071929)
502,AL,POINT (-88.101226 30.531346)
503,TX,POINT (-97.010874 32.950769)
504,VA,POINT (-78.904197 38.387219)
505,WI,POINT (-87.901241 42.534117)
506,CA,POINT (-118.056031 33.895023)
507,CA,POINT (-118.114031 33.975316)
508,UT,POINT (-112.195837 41.722214)
509,AZ,POINT (-114.572737 32.668869)
510,CA,POINT (-116.983931 32.548707)
511,MD,POINT (-76.787247 39.156828)
512,FL,POINT (-81.82829 26.720219)
513,IA,POINT (-92.391498 41.006223)
514,PA,POINT (-75.556307 40.065848)
515,MA,POINT (-70.641381 42.628067)
516,WA,POINT (-119.83197 47.23893)
517,IA,POINT (-93.626582 41.620143)
518,SD,POINT (-96.7183 43.56215)
519,SC,POINT (-81.593612 34.983183)
520,IA,POINT (-92.899795 42.054746)
521,MN,POINT (-94.44261 43.660377)
522,WA,POINT (-122.230177 47.412085)
523,NV,POINT (-114.95618 36.012603)
524,NV,POINT (-115.129447 36.184777)
525,MI,POINT (-83.056345 42.410248)
526,IL,POINT (-87.830815 41.805888)
527,MO,POINT (-89.623864 36.924574)
528,GA,POINT (-83.670633 34.158402)
529,IL,POINT (-87.844527 41.800034)
530,IL,POINT (-87.857982 41.766836)
531,IN,POINT (-87.305469 38.047852)
532,MA,POINT (-71.087392 42.373602)
533,CA,POINT (-118.250889 33.789133)
534,CA,POINT (-122.344835 37.91832)
535,TX,POINT (-102.70802 34.639743)
536,IN,POINT (-85.134175 41.162261)
537,CA,POINT (-118.251112 33.776248)
538,CA,POINT (-119.168971 34.200513)
539,NC,POINT (-80.905209 35.270416)
540,TN,POINT (-86.270543 36.18475)
541,NC,POINT (-80.878732 35.282743)
542,OH,POINT (-81.379243 41.245207)
543,OH,POINT (-81.494517 40.785823)
544,CA,POINT (-121.633602 36.660351)
545,NE,POINT (-95.950975 41.208935)
546,OR,POINT (-122.640817 45.454813)
547,OR,POINT (-122.640817 45.454813)
548,AZ,POINT (-112.265349 33.435814)
549,TN,POINT (-88.921044 35.834494)
550,HI,POINT (-157.95578 21.392263)
551,SC,POINT (-82.200689 34.934904)
552,VA,POINT (-77.344422 37.509066)
553,NJ,POINT (-74.174448 40.715983)
554,NJ,POINT (-74.143511 40.689773)
555,CA,POINT (-118.239768 34.042468)
556,PA,POINT (-75.716202 39.867353)
557,IN,POINT (-85.082581 41.068828)
558,WA,POINT (-122.241921 47.23671)
559,WA,POINT (-122.24425 47.291732)
560,CA,POINT (-117.33172 34.033888)
561,WI,POINT (-89.30962 43.083877)
562,MI,POINT (-86.488054 42.083485)
563,TX,POINT (-98.462909 29.515808)
564,NJ,POINT (-74.211278 40.64082)
565,FL,POINT (-81.711183 30.347281)
566,FL,POINT (-82.481142 27.260734)
567,DE,POINT (-75.539567 39.710825)
568,CO,POINT (-104.895221 39.856298)
569,PA,POINT (-75.143107 39.978712)
570,PA,POINT (-75.13804 39.958475)
571,NC,POINT (-78.660207 35.730755)
572,NC,POINT (-78.578886 35.884398)
573,CA,POINT (-118.216171 34.005548)
574,MA,POINT (-70.920198 41.638313)
575,IA,POINT (-96.178772 42.785976)
576,FL,POINT (-81.842399 27.895473)
577,GA,POINT (-81.903918 32.165292)
578,NC,POINT (-78.803671 34.754275)
579,PA,POINT (-75.354578 40.679694)
580,PA,POINT (-75.367027 40.679857)
581,FL,POINT (-80.385181 25.891052)
582,WA,POINT (-117.438549 47.669183)
583,CT,POINT (-72.9183 41.300574)
584,TX,POINT (-95.24878 29.824792)
585,TX,POINT (-95.27853 29.780791)
586,WA,POINT (-122.477174 48.778869)
587,VA,POINT (-76.31817 36.932019)
588,WA,POINT (-122.375139 47.63346)
589,PA,POINT (-75.301941 40.291988)
590,PA,POINT (-75.301941 40.291988)
591,GA,POINT (-84.246953 33.909722)
592,GA,POINT (-84.246953 33.909722)
593,TX,POINT (-97.426728 27.797912)
594,PA,POINT (-76.072668 40.204375)
595,OR,POINT (-122.46337 45.537072)
596,OR,POINT (-122.48326 45.540672)
597,MA,POINT (-71.061647 42.338017)
598,TX,POINT (-98.482612 29.557531)
599,WA,POINT (-122.507837 48.760755)
600,MA,POINT (-71.131328 41.939392)
601,CA,POINT (-118.222748 33.84884)
602,CA,POINT (-118.210588 34.005555)
603,CA,POINT (-118.204318 34.000303)
604,WI,POINT (-88.199148 43.130082)
605,WI,POINT (-88.735103 42.587659)
606,CA,POINT (-117.906784 33.85514)
607,CA,POINT (-117.880741 33.815761)
608,OR,POINT (-119.374209 45.793568)
609,MA,POINT (-70.927232 41.636291)
610,OH,POINT (-82.015642 39.95006)
611,NJ,POINT (-75.328352 39.638998)
612,GA,POINT (-83.731411 34.346512)
613,VA,POINT (-76.627894 37.002922)
614,AL,POINT (-88.043819 30.704911)
615,NM,POINT (-106.762795 32.267924)
616,OH,POINT (-84.535123 39.098587)
617,PA,POINT (-75.771429 41.30811)
618,PA,POINT (-76.051201 40.937694)
619,NC,POINT (-80.352672 35.00487)
620,FL,POINT (-80.368675 25.873964)
621,CA,POINT (-117.114763 32.654744)
622,TN,POINT (-86.530442 36.003998)
623,UT,POINT (-111.980271 41.214538)
624,AL,POINT (-85.961947 31.821709)
625,NE,POINT (-97.596644 40.872463)
626,TX,POINT (-97.324868 32.753403)
627,CA,POINT (-121.409649 37.744501)
628,NY,POINT (-76.715833 43.254426)
629,PA,POINT (-75.346225 40.616315)
630,WA,POINT (-122.139102 47.682303)
631,LA,POINT (-90.078996 29.952122)
632,TN,POINT (-88.843266 36.357122)
633,WA,POINT (-122.727551 48.990492)
634,LA,POINT (-91.109737 30.467428)
635,UT,POINT (-111.916785 40.728624)
636,TX,POINT (-97.668628 26.257149)
637,VA,POINT (-76.474215 36.814376)
638,OH,POINT (-84.192851 39.754187)
639,FL,POINT (-82.568929 30.190182)
640,NJ,POINT (-75.006392 39.575276)
641,NJ,POINT (-75.06489 39.514578)
642,FL,POINT (-81.411451 28.450313)
643,CA,POINT (-122.397127 37.654405)
644,CA,POINT (-121.540291 38.569793)
645,CA,POINT (-118.23069 33.991057)
646,PA,POINT (-79.902247 40.614478)
647,WA,POINT (-122.274151 47.189348)
648,NC,POINT (-78.109426 35.013723)
649,MO,POINT (-94.383647 39.091566)
650,NE,POINT (-95.957006 41.216112)
651,CA,POINT (-119.744971 36.692395)
652,TX,POINT (-97.315361 32.818883)
653,FL,POINT (-81.709363 30.343948)
654,MI,POINT (-85.625871 44.72577)
655,SD,POINT (-96.479614 42.506395)
656,FL,POINT (-81.62583 30.3515)
657,FL,POINT (-81.625909 30.349299)
658,NC,POINT (-79.045413 34.607434)
659,AR,POINT (-93.14087 35.279645)
660,FL,POINT (-82.122367 28.011594)
661,CA,POINT (-121.47196 38.503073)
662,HI,POINT (-157.911437 21.334118)
663,FL,POINT (-80.141812 26.084657)
664,TX,POINT (-97.048672 32.720633)
665,CA,POINT (-122.043558 37.59394)
666,CA,POINT (-121.123885 37.467759)
667,CA,POINT (-121.560323 38.592503)
668,OR,POINT (-123.135622 44.64989)
669,NY,POINT (-77.189402 43.232817)
670,IN,POINT (-86.489398 40.039273)
671,DE,POINT (-75.45111 38.921057)
672,CA,POINT (-120.91528 37.625063)
673,NE,POINT (-96.080527 41.185054)
674,NY,POINT (-72.944479 40.820763)
675,NY,POINT (-77.061744 43.239594)
676,ND,POINT (-96.855651 46.876377)
677,TX,POINT (-101.82957 33.534359)
678,AR,POINT (-94.136568 36.26292)
679,TX,POINT (-96.877889 32.81004)
680,CA,POINT (-120.890015 37.498171)
681,NJ,POINT (-75.023591 39.489168)
682,IL,POINT (-87.809879 41.792013)
683,FL,POINT (-82.524957 27.998378)
684,MO,POINT (-91.009269 38.969212)
685,NJ,POINT (-75.215725 39.413903)
686,WA,POINT (-122.226164 47.473673)
687,IL,POINT (-88.275344 41.451513)
688,VA,POINT (-78.161753 39.194413)
689,OH,POINT (-84.310643 39.352194)
690,ID,POINT (-116.49838 43.607987)
691,WA,POINT (-122.232351 47.386379)
692,MS,POINT (-88.746239 34.252812)
693,CA,POINT (-119.07468 35.313113)
694,TX,POINT (-97.437756 25.937715)
695,OK,POINT (-95.899911 36.177033)
696,AZ,POINT (-110.847476 32.129643)
697,LA,POINT (-91.117268 30.470476)
698,IN,POINT (-85.238201 41.084543)
699,VA,POINT (-78.8986 38.3957)
700,IL,POINT (-88.138079 41.32015)
701,CA,POINT (-117.159582 32.701008)
702,CA,POINT (-119.340065 36.185787)
703,AR,POINT (-94.382226 35.304819)
704,CA,POINT (-118.212881 34.003818)
705,CA,POINT (-118.210747 34.003879)
706,CA,POINT (-118.209545 34.003895)
707,CA,POINT (-118.199658 34.001998)
708,CA,POINT (-118.235841 34.00399)
709,CA,POINT (-118.23562 34.003958)
710,CA,POINT (-118.218999 34.003739)
711,CA,POINT (-118.217081 34.003748)
712,WA,POINT (-122.32593 47.586349)
713,WV,POINT (-77.886529 39.272324)
714,CA,POINT (-118.201188 33.996458)
715,NJ,POINT (-75.002689 39.847993)
716,UT,POINT (-112.033157 41.098907)
717,TN,POINT (-86.599144 36.019297)
718,CA,POINT (-119.33252 36.193044)
719,NJ,POINT (-74.068919 40.781437)
720,OR,POINT (-123.236703 44.045771)
721,NY,POINT (-76.894173 43.184492)
722,TX,POINT (-99.511076 27.551437)
723,TX,POINT (-99.510339 27.545114)
724,AR,POINT (-94.163041 36.133511)
725,WI,POINT (-89.310695 43.083802)
